old_label,final_label,changed,source
* * * Part 24 * * *, part 24 ,True,auto-syntax
* * * Part 25 * * *, part 25 ,True,auto-syntax
* * * Part 26 * * *, part 26 ,True,auto-syntax
* * * Part 27 * * *, part 27 ,True,auto-syntax
* * * Part 28 * * *, part 28 ,True,auto-syntax
* * * Part 29 * * *, part 29 ,True,auto-syntax
* * * Part 3 * * *, part 3 ,True,auto-syntax
* * * Part 30 * * *, part 30 ,True,auto-syntax
* * * Part 31 * * *, part 31 ,True,auto-syntax
* * * Part 32 * * *, part 32 ,True,auto-syntax
* * * Part 33 * * *, part 33 ,True,auto-syntax
* * * Part 34 * * *, part 34 ,True,auto-syntax
* * * Part 35 * * *, part 35 ,True,auto-syntax
* * * Part 36 * * *, part 36 ,True,auto-syntax
* * * Part 37 * * *, part 37 ,True,auto-syntax
* * * Part 38 * * *, part 38 ,True,auto-syntax
* * * Part 39 * * *, part 39 ,True,auto-syntax
* * * Part 4 * * *, part 4 ,True,auto-syntax
* * * Part 40 * * *, part 40 ,True,auto-syntax
* * * Part 41 * * *, part 41 ,True,auto-syntax
* * * Part 42 * * *, part 42 ,True,auto-syntax
* * * Part 43 * * *, part 43 ,True,auto-syntax
* * * Part 44 * * *, part 44 ,True,auto-syntax
* * * Part 45 * * *, part 45 ,True,auto-syntax
* * * Part 46 * * *, part 46 ,True,auto-syntax
* * * Part 47 * * *, part 47 ,True,auto-syntax
* * * Part 48 * * *, part 48 ,True,auto-syntax
* * * Part 49 * * *, part 49 ,True,auto-syntax
* * * Part 5 * * *, part 5 ,True,auto-syntax
* * * Part 50 * * *, part 50 ,True,auto-syntax
* * * Part 51 * * *, part 51 ,True,auto-syntax
* * * Part 52 * * *, part 52 ,True,auto-syntax
* * * Part 53 * * *, part 53 ,True,auto-syntax
* * * Part 54 * * *, part 54 ,True,auto-syntax
* * * Part 55 * * *, part 55 ,True,auto-syntax
* * * Part 56 * * *, part 56 ,True,auto-syntax
* * * Part 57 * * *, part 57 ,True,auto-syntax
* * * Part 58 * * *, part 58 ,True,auto-syntax
* * * Part 59 * * *, part 59 ,True,auto-syntax
* * * Part 6 * * *, part 6 ,True,auto-syntax
* * * Part 60 * * *, part 60 ,True,auto-syntax
* * * Part 61 * * *, part 61 ,True,auto-syntax
* * * Part 62 * * *, part 62 ,True,auto-syntax
* * * Part 63 * * *, part 63 ,True,auto-syntax
* * * Part 64 * * *, part 64 ,True,auto-syntax
* * * Part 65 * * *, part 65 ,True,auto-syntax
* * * Part 66 * * *, part 66 ,True,auto-syntax
* * * Part 67 * * *, part 67 ,True,auto-syntax
* * * Part 68 * * *, part 68 ,True,auto-syntax
* * * Part 69 * * *, part 69 ,True,auto-syntax
* * * Part 7 * * *, part 7 ,True,auto-syntax
* * * Part 70 * * *, part 70 ,True,auto-syntax
* * * Part 71 * * *, part 71 ,True,auto-syntax
* * * Part 8 * * *, part 8 ,True,auto-syntax
* * * Part 9 * * *, part 9 ,True,auto-syntax
* F10, f10,True,auto-syntax
* Fp1???, fp1?,True,auto-syntax
* G uche, g uche,True,auto-syntax
* N 280 sec, n 280 sec,True,auto-syntax
* PRENDRE ICI, prendre ici,True,auto-syntax
* anomalies prédominent à droite, anomalies prédominent à droite,True,auto-syntax
* arme 3, arme 3,True,auto-syntax
* asme, asme,True,auto-syntax
* charge infra clinique, charge infra clinique,True,auto-syntax
* crispe t à crier, crispe t à crier,True,auto-syntax
* crispe t à crier banyl abdo, crispe t à crier banyl abdo,True,auto-syntax
* fp1 f3, fp1 f3,True,auto-syntax
* fronto temporal G, fronto temporal g,True,auto-syntax
* i, i,True,auto-syntax
* ise?, ise?,True,auto-syntax
* mplexe K, mplexe k,True,auto-syntax
* omalies, omalies,True,auto-syntax
* omalis?, omalis?,True,auto-syntax
* p C3 P3, p c3 p3,True,auto-syntax
* pas, pas,True,auto-syntax
* perndre ici, perndre ici,True,auto-syntax
* rsaut, rsaut,True,auto-syntax
* se?, se?,True,auto-syntax
* sommeil, sommeil,True,auto-syntax
* st HPN 20 sec, st hpn 20 sec,True,auto-syntax
* st lumière => myclonies des ms, st lumière => myclonies des ms,True,auto-syntax
* tefact?, tefact?,True,auto-syntax
* veil, veil,True,auto-syntax
* vertex???, vertex?,True,auto-syntax
* voir +, voir +,True,auto-syntax
* voir C4P4, voir c4p4,True,auto-syntax
* voir F7, voir f7,True,auto-syntax
* voir O1, voir o1,True,auto-syntax
* voir P3, voir p3,True,auto-syntax
* voir droite, voir droite,True,auto-syntax
* voir frontal gauche et ligne mediane, voir frontal gauche et ligne mediane,True,auto-syntax
* voir fronto temporal G, voir fronto temporal g,True,auto-syntax
* voir temporal post G, voir temporal post g,True,auto-syntax
**,,True,auto-syntax
***,,True,auto-syntax
*** voir, voir,True,auto-syntax
****,,True,auto-syntax
*****,,True,auto-syntax
***???,?,True,auto-syntax
***G>D,g>d,True,auto-syntax
***POST?,post?,True,auto-syntax
***pointes vertex ou centro pariétale??,pointes vertex ou centro pariétale?,True,auto-syntax
*-, ,True,auto-syntax
*/,/,True,auto-syntax
*?,?,True,auto-syntax
*OL prédominent à D,ol prédominent à d,True,auto-syntax
*pd,pd,True,auto-syntax
*éléments lents Cz ?,éléments lents cz?,True,auto-syntax
+,+,False,unchanged
+ aigu,+ aigu,False,unchanged
+ aigu en antérieur droit,+ aigu en antérieur droit,False,unchanged
+ aigu sur O1,+ aigu sur o1,True,auto-syntax
+ aigu à D,+ aigu à d,True,auto-syntax
+ aigu à D?,+ aigu à d?,True,auto-syntax
+ ample sur O1,+ ample sur o1,True,auto-syntax
+ ample temp g ?,+ ample temp g?,True,auto-syntax
+ ample?,+ ample?,False,unchanged
+ lent,+ lent,False,unchanged
+ lent G,+ lent g,True,auto-syntax
+ lent ant D et ligne med-->,+ lent ant d et ligne med >,True,auto-syntax
+ lent en temporal gauche,+ lent en temporal gauche,False,unchanged
+ lent globalement à droite et PO diffu,+ lent globalement à droite et po diffu,True,auto-syntax
+ lent ligne med et tem G?,+ lent ligne med et tem g?,True,auto-syntax
+ lent temporal D?,+ lent temporal d?,True,auto-syntax
+ lent à G,+ lent à g,True,auto-syntax
+ lent à droite,+ lent à droite,False,unchanged
+ lent à droite???,+ lent à droite?,True,auto-syntax
+ marqué à D?,+ marqué à d?,True,auto-syntax
+ marqué à G,+ marqué à g,True,auto-syntax
+ marqué à G?,+ marqué à g?,True,auto-syntax
+ sur le dessus des 2 mains re le corps,+ sur le dessus des 2 mains re le corps,False,unchanged
+ ébauche élévation MSD,+ ébauche élévation msd,True,auto-syntax
+++,+,True,auto-syntax
+fourmillement pied dt jusqu'à épaule d,+fourmillement pied dt jusqu'à épaule d,False,unchanged
+fourmillements entre pied et épaule gc,+fourmillements entre pied et épaule gc,False,unchanged
+rapide à G?,+rapide à g?,True,auto-syntax
+révulsions oculaires,+révulsions oculaires,False,unchanged
",",",",False,unchanged
",,",",",True,auto-syntax
",,,",",",True,auto-syntax
",,,,",",",True,auto-syntax
-, ,True,auto-syntax
- intense que crise habituelle, intense que crise habituelle,True,auto-syntax
--> il parle d'engourdissement., > il parle d'engourdissement.,True,auto-syntax
--> se frotte paume D avec main G, > se frotte paume d avec main g,True,auto-syntax
.,.,False,unchanged
.!,.!,False,unchanged
.....,.,True,auto-syntax
/,/,False,unchanged
0,0,False,unchanged
0 VOIR,0 voir,True,auto-syntax
1,1,False,unchanged
1 Hz,1 hz,True,auto-syntax
1 Hz ES sec,1 hz es sec,True,auto-syntax
1 Hz PN sec,1 hz pn sec,True,auto-syntax
1 Hz n patient 1,1 hz n patient 1,True,auto-syntax
1 MN,1 mn,True,auto-syntax
1 MN HPN,1 mn hpn,True,auto-syntax
1 hz,1 hz,False,unchanged
1 mn HPN,1 mn hpn,True,auto-syntax
10 Hz,10 hz,True,auto-syntax
10 hz,10 hz,False,unchanged
10 hz ermés,10 hz ermés,False,unchanged
100,100,False,unchanged
10hz,10hz,False,unchanged
12 Hz,12 hz,True,auto-syntax
12 hz,12 hz,False,unchanged
12 hz ermés,12 hz ermés,False,unchanged
13 Hz,13 hz,True,auto-syntax
13 hz,13 hz,False,unchanged
13hz,13hz,False,unchanged
15 Hz,15 hz,True,auto-syntax
15 hz,15 hz,False,unchanged
15 hz ermés,15 hz ermés,False,unchanged
15hz,15hz,False,unchanged
16 Hz,16 hz,True,auto-syntax
16 minutes après la fin de la crise,16 minutes après la fin de la crise,False,unchanged
18,18,False,unchanged
18 Hz,18 hz,True,auto-syntax
18 hz,18 hz,False,unchanged
18 hz ermés,18 hz ermés,False,unchanged
1MN,1mn,True,auto-syntax
1MN HPN,1mn hpn,True,auto-syntax
1er symptome était au niv des mains,1er symptome était au niv des mains,False,unchanged
1hz,1hz,False,unchanged
1mg de rivotril en IVD,1mg de rivotril en ivd,True,auto-syntax
1mn HPN 20 sec,1mn hpn 20 sec,True,auto-syntax
1ère anomalie intercritique ou artefact?,1ère anomalie intercritique ou artefact?,False,unchanged
2,2,False,unchanged
2 MN,2 mn,True,auto-syntax
2 MN HPN,2 mn hpn,True,auto-syntax
2 hz,2 hz,False,unchanged
2 mn HPN,2 mn hpn,True,auto-syntax
20,20,False,unchanged
20 Hz,20 hz,True,auto-syntax
20 hz,20 hz,False,unchanged
20 hz ermés,20 hz ermés,False,unchanged
2024 ok,2024 ok,False,unchanged
20hz,20hz,False,unchanged
22 Hz,22 hz,True,auto-syntax
22 Hz moites,22 hz moites,True,auto-syntax
23 Hz,23 hz,True,auto-syntax
24 Hz,24 hz,True,auto-syntax
25 Hz,25 hz,True,auto-syntax
25 hz,25 hz,False,unchanged
25 hz ermés,25 hz ermés,False,unchanged
25hz,25hz,False,unchanged
28 Hz,28 hz,True,auto-syntax
2MN,2mn,True,auto-syntax
2TERNUE,2ternue,True,auto-syntax
2VEIL,2veil,True,auto-syntax
2VEILL2E,2veill2e,True,auto-syntax
2mn HPN,2mn hpn,True,auto-syntax
3 Hz,3 hz,True,auto-syntax
3 Hz ES,3 hz es,True,auto-syntax
3 Hz PN sec,3 hz pn sec,True,auto-syntax
3 Hz n patient 4,3 hz n patient 4,True,auto-syntax
3 MN HPN,3 mn hpn,True,auto-syntax
3 hz,3 hz,False,unchanged
3 mn HPN,3 mn hpn,True,auto-syntax
3 mn post HPN,3 mn post hpn,True,auto-syntax
30 Hz,30 hz,True,auto-syntax
30 hz,30 hz,False,unchanged
30 hz ermés,30 hz ermés,False,unchanged
35 Hz,35 hz,True,auto-syntax
35 hz,35 hz,False,unchanged
35 hz ermés,35 hz ermés,False,unchanged
3MN,3mn,True,auto-syntax
3MN HPN,3mn hpn,True,auto-syntax
3hz,3hz,False,unchanged
3mn HPN,3mn hpn,True,auto-syntax
3éme crise,3éme crise,False,unchanged
4 Hz,4 hz,True,auto-syntax
4 MN,4 mn,True,auto-syntax
4 MN HPN c,4 mn hpn c,True,auto-syntax
4 MN hpn,4 mn hpn,True,auto-syntax
4 hz,4 hz,False,unchanged
4 hz fermés,4 hz fermés,False,unchanged
4 minutes après la fin de la crise,4 minutes après la fin de la crise,False,unchanged
4 mn HPN,4 mn hpn,True,auto-syntax
40 Hz,40 hz,True,auto-syntax
40 hz,40 hz,False,unchanged
40 hz ermés,40 hz ermés,False,unchanged
45 Hz,45 hz,True,auto-syntax
4MN 20 sec,4mn 20 sec,True,auto-syntax
4MN HPN,4mn hpn,True,auto-syntax
4mn HPN,4mn hpn,True,auto-syntax
5 MG URBANYL DONNE,5 mg urbanyl donne,True,auto-syntax
5 hz,5 hz,False,unchanged
5 mg de BUCCOLAM donné en buccal,5 mg de buccolam donné en buccal,True,auto-syntax
50 Hz,50 hz,True,auto-syntax
50 hz,50 hz,False,unchanged
50 hz ermés,50 hz ermés,False,unchanged
50hz,50hz,False,unchanged
5hz,5hz,False,unchanged
6 Hz,6 hz,True,auto-syntax
6 Hz n patient 3,6 hz n patient 3,True,auto-syntax
6 hz,6 hz,False,unchanged
6 hz fermés,6 hz fermés,False,unchanged
65535,65535,False,unchanged
8 Hz,8 hz,True,auto-syntax
8 hz,8 hz,False,unchanged
8 hz fermés,8 hz fermés,False,unchanged
81 Hz,81 hz,True,auto-syntax
99,99,False,unchanged
:!,:!,False,unchanged
::::::::::,:,True,auto-syntax
;;;,;,True,auto-syntax
;;;;,;,True,auto-syntax
<Pointes en palissade?,<pointes en palissade?,True,auto-syntax
=,=,False,unchanged
?,?,False,unchanged
? ?,?,True,auto-syntax
? C4-P4 et C3-P3?,? c4 p4 et c3 p3?,True,auto-syntax
? GRATTE,? gratte,True,auto-syntax
? INTES BILAT ?,? intes bilat?,True,auto-syntax
? UGE EMENTS,? uge ements,True,auto-syntax
? a voir,? a voir,False,unchanged
? après le fuseau?,? après le fuseau?,False,unchanged
? asme,? asme,False,unchanged
? cording pause,? cording pause,False,unchanged
? cro réveil,? cro réveil,False,unchanged
? intes,? intes,False,unchanged
? ise 8,? ise 8,False,unchanged
? mplexe K,? mplexe k,True,auto-syntax
? patiente hors champs caméra,? patiente hors champs caméra,False,unchanged
? prendre ici,? prendre ici,False,unchanged
? se,? se,False,unchanged
? uge,? uge,False,unchanged
? uton patient 1,? uton patient 1,False,unchanged
? voir,? voir,False,unchanged
?!,?,True,auto-syntax
??,?,True,auto-syntax
?? ES LENTES,? es lentes,True,auto-syntax
?? fige,? fige,True,auto-syntax
?? pourlèche,? pourlèche,True,auto-syntax
???,?,True,auto-syntax
??? P vertex?,? p vertex?,True,auto-syntax
??? S LENTES,? s lentes,True,auto-syntax
??? anomalies ligne med???,? anomalies ligne med?,True,auto-syntax
??? fuseau?,? fuseau?,True,auto-syntax
??? temporal G? artefact?,? temporal g? artefact?,True,auto-syntax
??? tes bilat,? tes bilat,True,auto-syntax
????,?,True,auto-syntax
?????,?,True,auto-syntax
??????,?,True,auto-syntax
A CHAUD REPOND,a chaud repond,True,auto-syntax
A DU MAL A RESPIRER,a du mal a respirer,True,auto-syntax
A LA TETE DROITE,a la tete droite,True,auto-syntax
A REVOIR!!!,a revoir!,True,auto-syntax
A VOIR,a voir,True,auto-syntax
A VOIR !,a voir!,True,auto-syntax
A VOIR SENSATION DE CRISE,a voir sensation de crise,True,auto-syntax
A VOIR ie MSG,a voir ie msg,True,auto-syntax
A Voir !,a voir!,True,auto-syntax
A bougé sa main dt,a bougé sa main dt,True,auto-syntax
A eu une sensation dans la machoire,a eu une sensation dans la machoire,True,auto-syntax
A la sensation que ses mains vont avoir,a la sensation que ses mains vont avoir,True,auto-syntax
A regarder,a regarder,True,auto-syntax
A regarder ci,a regarder ci,True,auto-syntax
A retenu le mot bateau,a retenu le mot bateau,True,auto-syntax
A retenu les mots montre et bateau,a retenu les mots montre et bateau,True,auto-syntax
A voir,a voir,True,auto-syntax
A voir !,a voir!,True,auto-syntax
A voire,a voire,True,auto-syntax
ACTIVITE DE POINTES RYTHMIQUES,activite de pointes rythmiques,True,auto-syntax
ACTIVITE O2,activite o2,True,auto-syntax
"ACTIVITE O2,","activite o2,",True,auto-syntax
ACTIVITE O2/T6,activite o2/t6,True,auto-syntax
ACTIVITE O2?,activite o2?,True,auto-syntax
ACTIVITE RYTHMIQUE,activite rythmique,True,auto-syntax
ALLONGE SES JAMBES,allonge ses jambes,True,auto-syntax
ALLONGEE AU SOL,allongee au sol,True,auto-syntax
ANO G,ano g,True,auto-syntax
ANO INTERC SOMMEIL,ano interc sommeil,True,auto-syntax
ANO g,ano g,True,auto-syntax
ANOMALES G,anomales g,True,auto-syntax
ANOMALIE,anomalie,True,auto-syntax
ANOMALIE RAS,anomalie ras,True,auto-syntax
ANOMALIES,anomalies,True,auto-syntax
ANOMALIES ASYNCHRONES,anomalies asynchrones,True,auto-syntax
ANOMALIES DROITES,anomalies droites,True,auto-syntax
ANOMALIES G,anomalies g,True,auto-syntax
ANOMALIES g,anomalies g,True,auto-syntax
ANOMALIES g nt 2,anomalies g nt 2,True,auto-syntax
ANOMALIES paroxystiques ant D,anomalies paroxystiques ant d,True,auto-syntax
ANOMLALIES,anomlalies,True,auto-syntax
ANOMLIES G,anomlies g,True,auto-syntax
AR,ar,True,auto-syntax
ARRET,arret,True,auto-syntax
ARRET HPN c,arret hpn c,True,auto-syntax
ARRET SENSATION,arret sensation,True,auto-syntax
ARRET SPORT,arret sport,True,auto-syntax
ARRETE DE DESSINER,arrete de dessiner,True,auto-syntax
ARRETE DE FAIRE HPN,arrete de faire hpn,True,auto-syntax
ARRETTE DE TAPOTER,arrette de tapoter,True,auto-syntax
ARTEFACT,artefact,True,auto-syntax
ARTEFACT ?,artefact?,True,auto-syntax
ARTEFACT CLAPING C3,artefact claping c3,True,auto-syntax
ARTEFACT FILS,artefact fils,True,auto-syntax
ARTEFACT SE BALANCE,artefact se balance,True,auto-syntax
ARTEFACT SUR T4,artefact sur t4,True,auto-syntax
ARTEFACT ec,artefact ec,True,auto-syntax
ARTICULATION OK,articulation ok,True,auto-syntax
ARYTHMIE,arythmie,True,auto-syntax
ARYTHMIE ec,arythmie ec,True,auto-syntax
ASYSTOLIE,asystolie,True,auto-syntax
AU TELEPHONE,au telephone,True,auto-syntax
AUTOMATISME MSG UX TE,automatisme msg ux te,True,auto-syntax
AUTOMATISMES AVEC SES MAINS,automatismes avec ses mains,True,auto-syntax
AVOIR L IMPRESIOON PIED,avoir l impresioon pied,True,auto-syntax
Activité rapide paroxysmique,activité rapide paroxysmique,True,auto-syntax
Agitation,agitation,True,auto-syntax
Agitation (Pédalage ?) 4 membres,agitation (pédalage?) 4 membres,True,auto-syntax
Agitation (sous le drap),agitation (sous le drap),True,auto-syntax
Alarme 1,alarme 1,True,auto-syntax
Alarme 1 : ANGOISSE TACHYCARDIE BOUFFEES,alarme 1: angoisse tachycardie bouffees,True,auto-syntax
Alarme 1 : la mère prévient,alarme 1: la mère prévient,True,auto-syntax
Alarme 1 F9TP9,alarme 1 f9tp9,True,auto-syntax
Alarme 1 pide fronto central Dt,alarme 1 pide fronto central dt,True,auto-syntax
Alarme 1 plutot à l'arriere du corps,alarme 1 plutot à l'arriere du corps,True,auto-syntax
Alarme 1 suite morsure de levre,alarme 1 suite morsure de levre,True,auto-syntax
Alarme 1 yeux et cherche la sonnette,alarme 1 yeux et cherche la sonnette,True,auto-syntax
Alarme 10,alarme 10,True,auto-syntax
Alarme 10 c te vers la droite,alarme 10 c te vers la droite,True,auto-syntax
Alarme 10 tete a droite,alarme 10 tete a droite,True,auto-syntax
Alarme 100,alarme 100,True,auto-syntax
Alarme 101,alarme 101,True,auto-syntax
Alarme 102,alarme 102,True,auto-syntax
Alarme 103,alarme 103,True,auto-syntax
Alarme 104,alarme 104,True,auto-syntax
Alarme 105,alarme 105,True,auto-syntax
Alarme 106,alarme 106,True,auto-syntax
Alarme 107,alarme 107,True,auto-syntax
Alarme 108,alarme 108,True,auto-syntax
Alarme 109,alarme 109,True,auto-syntax
Alarme 11,alarme 11,True,auto-syntax
Alarme 11 c te vers la droite,alarme 11 c te vers la droite,True,auto-syntax
Alarme 110,alarme 110,True,auto-syntax
Alarme 111,alarme 111,True,auto-syntax
Alarme 112,alarme 112,True,auto-syntax
Alarme 113,alarme 113,True,auto-syntax
Alarme 114,alarme 114,True,auto-syntax
Alarme 115,alarme 115,True,auto-syntax
Alarme 116,alarme 116,True,auto-syntax
Alarme 117,alarme 117,True,auto-syntax
Alarme 118,alarme 118,True,auto-syntax
Alarme 119,alarme 119,True,auto-syntax
Alarme 12,alarme 12,True,auto-syntax
Alarme 12 ses,alarme 12 ses,True,auto-syntax
Alarme 12 tout le corp roite,alarme 12 tout le corp roite,True,auto-syntax
Alarme 120,alarme 120,True,auto-syntax
Alarme 121,alarme 121,True,auto-syntax
Alarme 122,alarme 122,True,auto-syntax
Alarme 123,alarme 123,True,auto-syntax
Alarme 124,alarme 124,True,auto-syntax
Alarme 125,alarme 125,True,auto-syntax
Alarme 126,alarme 126,True,auto-syntax
Alarme 127,alarme 127,True,auto-syntax
Alarme 128,alarme 128,True,auto-syntax
Alarme 129,alarme 129,True,auto-syntax
Alarme 13,alarme 13,True,auto-syntax
Alarme 13 épaule droite,alarme 13 épaule droite,True,auto-syntax
Alarme 130,alarme 130,True,auto-syntax
Alarme 131,alarme 131,True,auto-syntax
Alarme 132,alarme 132,True,auto-syntax
Alarme 133,alarme 133,True,auto-syntax
Alarme 134,alarme 134,True,auto-syntax
Alarme 135,alarme 135,True,auto-syntax
Alarme 136,alarme 136,True,auto-syntax
Alarme 137,alarme 137,True,auto-syntax
Alarme 138,alarme 138,True,auto-syntax
Alarme 139,alarme 139,True,auto-syntax
Alarme 14,alarme 14,True,auto-syntax
Alarme 14 0 sec droite,alarme 14 0 sec droite,True,auto-syntax
Alarme 140,alarme 140,True,auto-syntax
Alarme 141,alarme 141,True,auto-syntax
Alarme 142,alarme 142,True,auto-syntax
Alarme 143,alarme 143,True,auto-syntax
Alarme 144,alarme 144,True,auto-syntax
Alarme 145,alarme 145,True,auto-syntax
Alarme 146,alarme 146,True,auto-syntax
Alarme 147,alarme 147,True,auto-syntax
Alarme 148,alarme 148,True,auto-syntax
Alarme 149,alarme 149,True,auto-syntax
Alarme 15,alarme 15,True,auto-syntax
Alarme 15 tete vers la droite,alarme 15 tete vers la droite,True,auto-syntax
Alarme 150,alarme 150,True,auto-syntax
Alarme 151,alarme 151,True,auto-syntax
Alarme 152,alarme 152,True,auto-syntax
Alarme 153,alarme 153,True,auto-syntax
Alarme 154,alarme 154,True,auto-syntax
Alarme 155,alarme 155,True,auto-syntax
Alarme 156,alarme 156,True,auto-syntax
Alarme 157,alarme 157,True,auto-syntax
Alarme 158,alarme 158,True,auto-syntax
Alarme 159,alarme 159,True,auto-syntax
Alarme 16,alarme 16,True,auto-syntax
Alarme 16 tete vers la droite,alarme 16 tete vers la droite,True,auto-syntax
Alarme 160,alarme 160,True,auto-syntax
Alarme 161,alarme 161,True,auto-syntax
Alarme 162,alarme 162,True,auto-syntax
Alarme 163,alarme 163,True,auto-syntax
Alarme 164,alarme 164,True,auto-syntax
Alarme 165,alarme 165,True,auto-syntax
Alarme 166,alarme 166,True,auto-syntax
Alarme 167,alarme 167,True,auto-syntax
Alarme 168,alarme 168,True,auto-syntax
Alarme 169,alarme 169,True,auto-syntax
Alarme 17,alarme 17,True,auto-syntax
Alarme 170,alarme 170,True,auto-syntax
Alarme 171,alarme 171,True,auto-syntax
Alarme 172,alarme 172,True,auto-syntax
Alarme 173,alarme 173,True,auto-syntax
Alarme 174,alarme 174,True,auto-syntax
Alarme 175,alarme 175,True,auto-syntax
Alarme 176,alarme 176,True,auto-syntax
Alarme 177,alarme 177,True,auto-syntax
Alarme 178,alarme 178,True,auto-syntax
Alarme 18,alarme 18,True,auto-syntax
Alarme 19,alarme 19,True,auto-syntax
Alarme 19 des pieds,alarme 19 des pieds,True,auto-syntax
Alarme 2,alarme 2,True,auto-syntax
Alarme 2 (par la maman),alarme 2 (par la maman),True,auto-syntax
Alarme 2 : la mère prévient,alarme 2: la mère prévient,True,auto-syntax
Alarme 2 bruit oreille droite,alarme 2 bruit oreille droite,True,auto-syntax
Alarme 2 ment G?,alarme 2 ment g?,True,auto-syntax
Alarme 2 pied gch,alarme 2 pied gch,True,auto-syntax
Alarme 20,alarme 20,True,auto-syntax
Alarme 21,alarme 21,True,auto-syntax
Alarme 22,alarme 22,True,auto-syntax
Alarme 23,alarme 23,True,auto-syntax
Alarme 24,alarme 24,True,auto-syntax
Alarme 25,alarme 25,True,auto-syntax
Alarme 26,alarme 26,True,auto-syntax
Alarme 27,alarme 27,True,auto-syntax
Alarme 28,alarme 28,True,auto-syntax
Alarme 29,alarme 29,True,auto-syntax
Alarme 3,alarme 3,True,auto-syntax
Alarme 3 mlent genou gch,alarme 3 mlent genou gch,True,auto-syntax
Alarme 3 pied gch,alarme 3 pied gch,True,auto-syntax
Alarme 30,alarme 30,True,auto-syntax
Alarme 31,alarme 31,True,auto-syntax
Alarme 32,alarme 32,True,auto-syntax
Alarme 33,alarme 33,True,auto-syntax
Alarme 34,alarme 34,True,auto-syntax
Alarme 35,alarme 35,True,auto-syntax
Alarme 36,alarme 36,True,auto-syntax
Alarme 37,alarme 37,True,auto-syntax
Alarme 38,alarme 38,True,auto-syntax
Alarme 39,alarme 39,True,auto-syntax
Alarme 4,alarme 4,True,auto-syntax
Alarme 4 ment genou gch,alarme 4 ment genou gch,True,auto-syntax
Alarme 4 pied gch,alarme 4 pied gch,True,auto-syntax
